"Year","grp","sgrp","variable","value","value_base","diff_base","perc_base","Inflation","Infl2003Base","Infl2013Base","Infl2012Base","czsal_all","czsal_podnik","czsal_nepodnik","czsal_all_2003","czsal_podnik_2003","czsal_nepodnik_2003","phasal_all","phasal_all_2003","realchange","promenna","udaj","zmena","exekutiva","UO"
2003-01-01,"Exekutiva",TRUE,"OPPP_upr2skut",1.05780533752856,1.05780533752856,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"PO",FALSE,"Platy_schvaleny",47681995,47681995,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"OSS-SS",FALSE,"AvgSal_upr2skut",0.977289677305392,0.977289677305392,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","upr2skut",TRUE,TRUE,FALSE
2003-01-01,"UO - Ostatní",FALSE,"Zam_upr2skut",1.04533648170012,1.04533648170012,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","upr2skut",TRUE,TRUE,TRUE
2003-01-01,"Exekutiva",TRUE,"Platy_skutecnost",15871029.93,15871029.93,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"PO",FALSE,"Platy_uprMinusskut",-495220.270000003,-495220.270000003,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"SOBCPO",FALSE,"Zam_upraveny",102032,102032,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","upraveny",FALSE,FALSE,FALSE
2003-01-01,"ROPO celkem",TRUE,"PlatyOPPP_schvaleny",106002487,106002487,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"UO - Ministerstva",FALSE,"PlatyOPPP_upraveny",4482918,4482918,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","upraveny",FALSE,TRUE,TRUE
2003-01-01,"UO",TRUE,"Platy_schvaleny",5420210,5420210,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"OOSS",FALSE,"PlatyOPPP_skutecnost",13519995.34,13519995.34,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"Exekutiva",TRUE,"OPPP_upraveny",226776,226776,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","upraveny",FALSE,FALSE,FALSE
2003-01-01,"PO",FALSE,"Platy_skutecnost",48440352.27,48440352.27,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"OSS-SS",FALSE,"AvgSal_upraveny",17672.6488932371,17672.6488932371,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","upraveny",FALSE,TRUE,FALSE
2003-01-01,"UO - Ostatní",FALSE,"Zam_upraveny",4427,4427,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","upraveny",FALSE,TRUE,TRUE
2003-01-01,"Exekutiva",TRUE,"Platy_upr2skut",1.00133507844755,1.00133507844755,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"PO",FALSE,"PlatyOPPP_schvaleny",48306402,48306402,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"SOBCPO",FALSE,"Zam_uprMinusskut",1690,1690,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"ROPO celkem",TRUE,"PlatyOPPP_skutecnost",108120293.8,108120293.8,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"UO - Ministerstva",FALSE,"PlatyOPPP_uprMinusskut",6200.54000000004,6200.54000000004,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","uprMinusskut",TRUE,TRUE,TRUE
2003-01-01,"UO",TRUE,"Platy_skutecnost",5478252.52,5478252.52,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"OOSS",FALSE,"PlatyOPPP_upr2skut",1.00645655991772,1.00645655991772,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"Exekutiva",TRUE,"OPPP_uprMinusskut",12392.51,12392.51,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"PO",FALSE,"Platy_upr2skut",0.989776699656524,0.989776699656524,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"OSS-SS",FALSE,"AvgSal_uprMinusskut",-410.678193532684,-410.678193532684,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","uprMinusskut",TRUE,TRUE,FALSE
2003-01-01,"UO - Ostatní",FALSE,"Zam_uprMinusskut",192,192,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","uprMinusskut",TRUE,TRUE,TRUE
2003-01-01,"Exekutiva",TRUE,"Platy_upraveny",15892219,15892219,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","upraveny",FALSE,FALSE,FALSE
2003-01-01,"PO",FALSE,"PlatyOPPP_skutecnost",49351817.96,49351817.96,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"St. sprava se SOBCPO",TRUE,"AvgSal_schvaleny",20429.839075316,20429.839075316,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"ROPO celkem",TRUE,"PlatyOPPP_upr2skut",0.997202978373705,0.997202978373705,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"UO - Ministerstva",FALSE,"Zam_schvaleny",14510,14510,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","schvaleny",FALSE,TRUE,TRUE
